Label,Site,Elevation,Treatment,Init__w_bag,Init,tea_type,Plot,Site,DOB,DOR,Days,Final_w_bag,Final,Mass_loss,Percent_mass_loss,Mean_weekly_temp,Week
10M3,10,1926,M,2.189,1.94,R,10M,EP,24/06/2016,13/08/2016,50,1.784,1.535,0.21,21,7.5699405,5
10M4,10,1926,M,2.226,1.977,R,10M,EP,24/06/2016,13/08/2016,50,1.796,1.547,0.22,22,8.073743429,6
10T1,10,1926,T,2.276,2.027,R,10T,EP,24/06/2016,13/08/2016,50,1.8,1.551,0.23,23,7.407738072,7
10T2,10,1926,T,2.272,2.023,R,10T,EP,24/06/2016,13/08/2016,50,1.742,1.493,0.26,26,8.769345072,8
10T3,10,1926,T,2.18,1.931,R,10T,EP,24/06/2016,13/08/2016,50,1.798,1.549,0.2,20,8.135416643,5
10T4,10,1926,T,2.245,1.996,R,10T,EP,24/06/2016,13/08/2016,50,1.784,1.535,0.23,23,8.711309445,6
10B1,10,1926,B,2.315,2.066,R,10B,EP,24/06/2016,13/08/2016,50,1.931,1.682,0.19,19,8.909226213,7
10B2,10,1926,B,2.244,1.995,R,10B,EP,24/06/2016,13/08/2016,50,1.842,1.593,0.2,20,9.955357072,8
10B3,10,1926,B,2.251,2.002,R,10B,EP,24/06/2016,13/08/2016,50,1.831,1.582,0.21,21,8.903273788,5
10B4,10,1926,B,2.266,2.017,R,10B,EP,24/06/2016,13/08/2016,50,1.842,1.593,0.21,21,9.735119278,6
