Label,Site,Elevation,Treatment,Init__w_bag,Init,tea_type,Plot,Site,DOB,DOR,Days,Final_w_bag,Final,Mass_loss,Percent_mass_loss,Mean_weekly_temp
4T1,4,1175,T,2.047,1.8,G,4T,EP,24/06/2016,13/08/2016,50,1.28,1.033,0.43,43,6.055059572
4T2,4,1175,T,2.104,1.857,G,4T,EP,24/06/2016,13/08/2016,50,1.286,1.039,0.44,44,6.912202429
4T3,4,1175,T,1.994,1.747,G,4T,EP,24/06/2016,13/08/2016,50,1.255,1.008,0.42,42,5.188988143
4T4,4,1175,T,2.004,1.757,G,4T,EP,24/06/2016,13/08/2016,50,1.23,0.983,0.44,44,5.93816131
4B1,4,1175,B,2.031,1.784,G,4B,EP,24/06/2016,13/08/2016,50,1.568,1.321,0.26,26,8.2440475
4B3,4,1175,B,2.066,1.819,G,4B,EP,24/06/2016,13/08/2016,50,1.515,1.268,0.3,30,9.706845286
4B4,4,1175,B,2.085,1.838,G,4B,EP,24/06/2016,13/08/2016,50,1.783,1.536,0.26,26,6.684523929
7M1,7,1551,M,1.965,1.718,G,7M,EP,24/06/2016,13/08/2016,50,1.032,0.785,0.54,54,8.671130929
7M2,7,1551,M,2.128,1.881,G,7M,EP,24/06/2016,13/08/2016,50,1.193,0.946,0.5,50,10.52083336
7M3,7,1551,M,2.024,1.777,G,7M,EP,24/06/2016,13/08/2016,50,1.14,0.893,0.5,50,8.394345143
7M4,7,1551,M,2.126,1.879,G,7M,EP,24/06/2016,13/08/2016,50,1.188,0.941,0.5,50,9.183201119
7T2,7,1551,T,2.033,1.786,G,7T,EP,24/06/2016,13/08/2016,50,1.272,1.025,0.43,43,9.096726286
7T3,7,1551,T,2.133,1.886,G,7T,EP,24/06/2016,13/08/2016,50,1.224,0.977,0.48,48,7.727678572
7T4,7,1551,T,2.078,1.831,G,7T,EP,24/06/2016,13/08/2016,50,1.245,0.998,0.46,46,8.657241961
7B1,7,1551,B,2.006,1.759,G,7B,EP,24/06/2016,13/08/2016,50,1.238,0.991,0.44,44,10.31101186
7B2,7,1551,B,2.021,1.774,G,7B,EP,24/06/2016,13/08/2016,50,1.276,1.029,0.42,42,11.33333336
7B3,7,1551,B,2.121,1.874,G,7B,EP,24/06/2016,13/08/2016,50,1.275,1.028,0.45,45,9.572916712
7B4,7,1551,B,1.85,1.603,G,7B,EP,24/06/2016,13/08/2016,50,1.198,0.951,0.41,41,10.6929564
10A1,10,1926,A,1.962,1.715,G,10A,EP,24/06/2016,13/08/2016,50,0.811,0.564,0.67,67,7.184523857
10A2,10,1926,A,2.057,1.81,G,10A,EP,24/06/2016,13/08/2016,50,0.835,0.588,0.68,68,9.244047571
10A3,10,1926,A,1.885,1.638,G,10A,EP,24/06/2016,13/08/2016,50,0.857,0.61,0.63,63,6.321428643
10A4,10,1926,A,1.957,1.71,G,10A,EP,24/06/2016,13/08/2016,50,0.706,0.589,0.66,66,7.062665429
10M1,10,1926,M,2.008,1.761,G,10M,EP,24/06/2016,13/08/2016,50,1.152,0.905,0.49,49,7.123511857
10M2,10,1926,M,2.052,1.805,G,10M,EP,24/06/2016,13/08/2016,50,1.139,0.892,0.51,51,9.245535786
10M3,10,1926,M,2.039,1.792,G,10M,EP,24/06/2016,13/08/2016,50,1.172,0.925,0.48,48,7.5699405
10M4,10,1926,M,2.018,1.771,G,10M,EP,24/06/2016,13/08/2016,50,1.171,0.924,0.48,48,8.073743429
10T1,10,1926,T,1.978,1.731,G,10T,EP,24/06/2016,13/08/2016,50,0.979,0.732,0.58,58,7.407738072
10T2,10,1926,T,1.968,1.721,G,10T,EP,24/06/2016,13/08/2016,50,1.05,0.803,0.53,53,8.769345072
10T3,10,1926,T,2.08,1.833,G,10T,EP,24/06/2016,13/08/2016,50,1.186,0.939,0.49,49,8.135416643
10T4,10,1926,T,2.044,1.797,G,10T,EP,24/06/2016,13/08/2016,50,0.911,0.664,0.63,63,8.711309445
10B1,10,1926,B,2.139,1.892,G,10B,EP,24/06/2016,13/08/2016,50,1.127,0.88,0.53,53,8.909226213
10B2,10,1926,B,2.051,1.804,G,10B,EP,24/06/2016,13/08/2016,50,1.16,0.913,0.49,49,9.955357072
10B3,10,1926,B,2.143,1.896,G,10B,EP,24/06/2016,13/08/2016,50,1.334,1.087,0.43,43,8.903273788
10B4,10,1926,B,2.158,1.911,G,10B,EP,24/06/2016,13/08/2016,50,1.234,0.987,0.48,48,9.735119278
1M1,1,794,M,2.25,2.001,R,1M,EP,24/06/2016,13/08/2016,50,1.841,1.592,0.2,20,9.980654712
1M2,1,794,M,2.239,1.99,R,1M,EP,24/06/2016,13/08/2016,50,1.795,1.546,0.22,22,12.95684522
1M3,1,794,M,2.193,1.944,R,1M,EP,24/06/2016,13/08/2016,50,1.809,1.56,0.2,20,9.261904857
1M4,1,794,M,2.234,1.985,R,1M,EP,24/06/2016,13/08/2016,50,1.8,1.551,0.22,22,9.855158604
1T1,1,794,T,2.24,1.991,R,1T,EP,24/06/2016,13/08/2016,50,1.815,1.566,0.21,21,10.84077379
1T2,1,794,T,2.174,1.925,R,1T,EP,24/06/2016,13/08/2016,50,1.8,1.551,0.19,19,13.52827386
1T3,1,794,T,2.211,1.962,R,1T,EP,24/06/2016,13/08/2016,50,1.797,1.548,0.21,21,9.138392714
1T4,1,794,T,2.241,1.992,R,1T,EP,24/06/2016,13/08/2016,50,1.808,1.559,0.22,22,10.34656087
1B1,1,794,B,2.233,1.984,R,1B,EP,24/06/2016,13/08/2016,50,1.781,1.532,0.23,23,12.25744043
1B2,1,794,B,2.195,1.946,R,1B,EP,24/06/2016,13/08/2016,50,1.772,1.523,0.22,22,13.8348215
1B4,1,794,B,2.22,1.971,R,1B,EP,24/06/2016,13/08/2016,50,1.806,1.557,0.21,21,10.00446429
4A1,4,1175,A,2.27,2.021,R,4A,EP,24/06/2016,13/08/2016,50,1.914,1.665,0.18,18,6.130290921
4A2,4,1175,A,2.226,1.977,R,4A,EP,24/06/2016,13/08/2016,50,1.971,1.722,0.13,13,3.815476143
4A3,4,1175,A,2.294,2.045,R,4A,EP,24/06/2016,13/08/2016,50,1.931,1.682,0.18,18,5.129464286
4A4,4,1175,A,2.197,1.948,R,4A,EP,24/06/2016,13/08/2016,50,1.792,1.543,0.21,21,3.623511858
4M1,4,1175,M,2.251,2.002,R,4M,EP,24/06/2016,13/08/2016,50,1.838,1.589,0.21,21,4.139054238
4M2,4,1175,M,2.229,1.98,R,4M,EP,24/06/2016,13/08/2016,50,1.768,1.519,0.23,23,7.184523857
4M3,4,1175,M,2.241,1.992,R,4M,EP,24/06/2016,13/08/2016,50,1.828,1.579,0.21,21,9.244047571
4M4,4,1175,M,2.278,2.029,R,4M,EP,24/06/2016,13/08/2016,50,1.833,1.584,0.22,22,6.321428643
4T1,4,1175,T,2.237,1.988,R,4T,EP,24/06/2016,13/08/2016,50,1.936,1.687,0.15,15,7.062665429
4T2,4,1175,T,2.292,2.043,R,4T,EP,24/06/2016,13/08/2016,50,1.884,1.635,0.2,20,6.055059572
4T3,4,1175,T,2.306,2.057,R,4T,EP,24/06/2016,13/08/2016,50,1.904,1.655,0.2,20,6.912202429
4T4,4,1175,T,2.268,2.019,R,4T,EP,24/06/2016,13/08/2016,50,1.849,1.6,0.21,21,5.188988143
4B1,4,1175,B,2.22,1.971,R,4B,EP,24/06/2016,13/08/2016,50,2.088,1.839,0.07,7,5.93816131
4B2,4,1175,B,2.23,1.981,R,4B,EP,24/06/2016,13/08/2016,50,2.104,1.855,0.06,6,8.2440475
4B3,4,1175,B,2.255,2.006,R,4B,EP,24/06/2016,13/08/2016,50,1.929,1.68,0.16,16,9.706845286
4B4,4,1175,B,2.24,1.991,R,4B,EP,24/06/2016,13/08/2016,50,1.958,1.709,0.14,14,6.684523929
7M1,7,1551,M,2.305,2.056,R,7M,EP,24/06/2016,13/08/2016,50,1.835,1.586,0.23,23,8.671130929
7M2,7,1551,M,2.212,1.963,R,7M,EP,24/06/2016,13/08/2016,50,1.753,1.504,0.23,23,10.52083336
7M3,7,1551,M,2.229,1.98,R,7M,EP,24/06/2016,13/08/2016,50,1.785,1.536,0.22,22,8.394345143
7M4,7,1551,M,2.277,2.028,R,7M,EP,24/06/2016,13/08/2016,50,1.765,1.516,0.25,25,9.183201119
7T2,7,1551,T,2.219,1.97,R,7T,EP,24/06/2016,13/08/2016,50,1.814,1.565,0.21,21,9.096726286
7T3,7,1551,T,2.203,1.954,R,7T,EP,24/06/2016,13/08/2016,50,1.76,1.511,0.23,23,7.727678572
7T4,7,1551,T,2.254,2.005,R,7T,EP,24/06/2016,13/08/2016,50,1.801,1.552,0.23,23,8.657241961
7B1,7,1551,B,2.234,1.985,R,7B,EP,24/06/2016,13/08/2016,50,1.856,1.607,0.19,19,10.31101186
7B2,7,1551,B,2.205,1.956,R,7B,EP,24/06/2016,13/08/2016,50,1.894,1.645,0.16,16,11.33333336
7B3,7,1551,B,2.19,1.941,R,7B,EP,24/06/2016,13/08/2016,50,1.843,1.594,0.18,18,9.572916712
7B4,7,1551,B,2.259,2.01,R,7B,EP,24/06/2016,13/08/2016,50,1.901,1.652,0.18,18,10.6929564
10A1,10,1926,A,2.214,1.965,R,10A,EP,24/06/2016,13/08/2016,50,1.658,1.409,0.28,28,7.184523857
10A2,10,1926,A,2.266,2.017,R,10A,EP,24/06/2016,13/08/2016,50,1.756,1.507,0.25,25,9.244047571
10A3,10,1926,A,2.217,1.968,R,10A,EP,24/06/2016,13/08/2016,50,1.665,1.416,0.28,28,6.321428643
10A4,10,1926,A,2.203,1.954,R,10A,EP,24/06/2016,13/08/2016,50,1.626,1.377,0.3,30,7.062665429
10M1,10,1926,M,2.258,2.009,R,10M,EP,24/06/2016,13/08/2016,50,1.795,1.546,0.23,23,7.123511857
10M2,10,1926,M,2.273,2.024,R,10M,EP,24/06/2016,13/08/2016,50,1.798,1.549,0.23,23,9.245535786
10M3,10,1926,M,2.189,1.94,R,10M,EP,24/06/2016,13/08/2016,50,1.784,1.535,0.21,21,7.5699405
10M4,10,1926,M,2.226,1.977,R,10M,EP,24/06/2016,13/08/2016,50,1.796,1.547,0.22,22,8.073743429
10T1,10,1926,T,2.276,2.027,R,10T,EP,24/06/2016,13/08/2016,50,1.8,1.551,0.23,23,7.407738072
10T2,10,1926,T,2.272,2.023,R,10T,EP,24/06/2016,13/08/2016,50,1.742,1.493,0.26,26,8.769345072
10T3,10,1926,T,2.18,1.931,R,10T,EP,24/06/2016,13/08/2016,50,1.798,1.549,0.2,20,8.135416643
10T4,10,1926,T,2.245,1.996,R,10T,EP,24/06/2016,13/08/2016,50,1.784,1.535,0.23,23,8.711309445
10B1,10,1926,B,2.315,2.066,R,10B,EP,24/06/2016,13/08/2016,50,1.931,1.682,0.19,19,8.909226213
10B2,10,1926,B,2.244,1.995,R,10B,EP,24/06/2016,13/08/2016,50,1.842,1.593,0.2,20,9.955357072
10B3,10,1926,B,2.251,2.002,R,10B,EP,24/06/2016,13/08/2016,50,1.831,1.582,0.21,21,8.903273788
10B4,10,1926,B,2.266,2.017,R,10B,EP,24/06/2016,13/08/2016,50,1.842,1.593,0.21,21,9.735119278
