Label,Site,Elevation,Treatment,Init__w_bag,Init,tea_type,Plot,Site,DOB,DOR,Days,Final_w_bag,Final,Mass_loss,Percent_mass_loss,Notes
7B2,7,1551,B,2.021,1.774,G,7B,EP,24/06/2016,13/08/2016,50,1.276,1.029,0.42,42,
7B3,7,1551,B,2.121,1.874,G,7B,EP,24/06/2016,13/08/2016,50,1.275,1.028,0.45,45,
7B4,7,1551,B,1.85,1.603,G,7B,EP,24/06/2016,13/08/2016,50,1.198,0.951,0.41,41,
8A1,8,1684,A,2.053,1.806,G,8A,EP,24/06/2016,13/08/2016,50,1.17,0.923,0.49,49,
8A2,8,1684,A,2.076,1.829,G,8A,EP,24/06/2016,13/08/2016,50,1.17,0.923,0.5,50,
8A3,8,1684,A,2.138,1.891,G,8A,EP,24/06/2016,13/08/2016,50,1.208,0.961,0.49,49,
8A4,8,1684,A,2.086,1.839,G,8A,EP,24/06/2016,13/08/2016,50,1.158,0.911,0.5,50,
9A1,9,1799,A,2.097,1.85,G,9A,EP,24/06/2016,13/08/2016,50,1.091,0.844,0.54,54,
9A2,9,1799,A,2.016,1.769,G,9A,EP,24/06/2016,13/08/2016,50,1.044,0.797,0.55,55,
9A3,9,1799,A,2.063,1.816,G,9A,EP,24/06/2016,13/08/2016,50,1.185,0.938,0.48,48,
9A4,9,1799,A,2.086,1.839,G,9A,EP,24/06/2016,13/08/2016,50,1.047,0.8,0.57,57,
10A2,10,1926,A,2.057,1.81,G,10A,EP,24/06/2016,13/08/2016,50,0.835,0.588,0.68,68,
10A3,10,1926,A,1.885,1.638,G,10A,EP,24/06/2016,13/08/2016,50,0.857,0.61,0.63,63,
10A4,10,1926,A,1.957,1.71,G,10A,EP,24/06/2016,13/08/2016,50,0.706,0.589,0.66,66,lable missing
10M1,10,1926,M,2.008,1.761,G,10M,EP,24/06/2016,13/08/2016,50,1.152,0.905,0.49,49,
10M2,10,1926,M,2.052,1.805,G,10M,EP,24/06/2016,13/08/2016,50,1.139,0.892,0.51,51,
10M3,10,1926,M,2.039,1.792,G,10M,EP,24/06/2016,13/08/2016,50,1.172,0.925,0.48,48,
10M4,10,1926,M,2.018,1.771,G,10M,EP,24/06/2016,13/08/2016,50,1.171,0.924,0.48,48,
10T1,10,1926,T,1.978,1.731,G,10T,EP,24/06/2016,13/08/2016,50,0.979,0.732,0.58,58,
10T2,10,1926,T,1.968,1.721,G,10T,EP,24/06/2016,13/08/2016,50,1.05,0.803,0.53,53,
10T3,10,1926,T,2.08,1.833,G,10T,EP,24/06/2016,13/08/2016,50,1.186,0.939,0.49,49,
10T4,10,1926,T,2.044,1.797,G,10T,EP,24/06/2016,13/08/2016,50,0.911,0.664,0.63,63,
10B1,10,1926,B,2.139,1.892,G,10B,EP,24/06/2016,13/08/2016,50,1.127,0.88,0.53,53,
10B2,10,1926,B,2.051,1.804,G,10B,EP,24/06/2016,13/08/2016,50,1.16,0.913,0.49,49,
10B3,10,1926,B,2.143,1.896,G,10B,EP,24/06/2016,13/08/2016,50,1.334,1.087,0.43,43,
10B4,10,1926,B,2.158,1.911,G,10B,EP,24/06/2016,13/08/2016,50,1.234,0.987,0.48,48,
1B3,1,794,B,2.134,1.887,G,1B,EP,24/06/2016,13/08/2016,50,1.206,0.959,0.49,49,
10A1,10,1926,A,1.962,1.715,G,10A,EP,24/06/2016,13/08/2016,50,0.811,0.564,0.67,67,
11A1,11,2002,A,2.113,1.866,G,11A,EP,24/06/2016,13/08/2016,50,1.278,1.031,0.45,45,
11A2,11,2002,A,2.182,1.935,G,11A,EP,24/06/2016,13/08/2016,50,1.119,0.872,0.55,55,
11A3,11,2002,A,1.9,1.653,G,11A,EP,24/06/2016,13/08/2016,50,1.092,0.845,0.49,49,
11A4,11,2002,A,1.935,1.688,G,11A,EP,24/06/2016,13/08/2016,50,1.024,0.777,0.54,54,
11A5,11,2002,A,2.217,1.97,G,11A,EP,24/06/2016,13/08/2016,50,1.43,1.183,0.4,40,
1A1,1,794,A,2.262,2.013,R,1A,EP,24/06/2016,13/08/2016,50,1.951,1.702,0.15,15,
1A2,1,794,A,2.175,1.926,R,1A,EP,24/06/2016,13/08/2016,50,1.833,1.584,0.18,18,
1A3,1,794,A,2.244,1.995,R,1A,EP,24/06/2016,13/08/2016,50,1.922,1.673,0.16,16,
1A4,1,794,A,2.329,2.08,R,1A,EP,24/06/2016,13/08/2016,50,2,1.751,0.16,16,
1M1,1,794,M,2.25,2.001,R,1M,EP,24/06/2016,13/08/2016,50,1.841,1.592,0.2,20,
1M2,1,794,M,2.239,1.99,R,1M,EP,24/06/2016,13/08/2016,50,1.795,1.546,0.22,22,
1M3,1,794,M,2.193,1.944,R,1M,EP,24/06/2016,13/08/2016,50,1.809,1.56,0.2,20,
1M4,1,794,M,2.234,1.985,R,1M,EP,24/06/2016,13/08/2016,50,1.8,1.551,0.22,22,
1T1,1,794,T,2.24,1.991,R,1T,EP,24/06/2016,13/08/2016,50,1.815,1.566,0.21,21,
1T2,1,794,T,2.174,1.925,R,1T,EP,24/06/2016,13/08/2016,50,1.8,1.551,0.19,19,
1T3,1,794,T,2.211,1.962,R,1T,EP,24/06/2016,13/08/2016,50,1.797,1.548,0.21,21,
1T4,1,794,T,2.241,1.992,R,1T,EP,24/06/2016,13/08/2016,50,1.808,1.559,0.22,22,
1B1,1,794,B,2.233,1.984,R,1B,EP,24/06/2016,13/08/2016,50,1.781,1.532,0.23,23,
1B2,1,794,B,2.195,1.946,R,1B,EP,24/06/2016,13/08/2016,50,1.772,1.523,0.22,22,
1B4,1,794,B,2.22,1.971,R,1B,EP,24/06/2016,13/08/2016,50,1.806,1.557,0.21,21,
2A1,2,922,A,2.244,1.995,R,2A,EP,24/06/2016,13/08/2016,50,1.813,1.564,0.22,22,
2A2,2,922,A,2.155,1.906,R,2A,EP,24/06/2016,13/08/2016,50,1.811,1.562,0.18,18,
2A3,2,922,A,2.212,1.963,R,2A,EP,24/06/2016,13/08/2016,50,1.857,1.608,0.18,18,
2A4,2,922,A,2.233,1.984,R,2A,EP,24/06/2016,13/08/2016,50,1.776,1.527,0.23,23,
3A1,3,1049,A,2.228,1.979,R,3A,EP,24/06/2016,13/08/2016,50,1.775,1.526,0.23,23,
3A2,3,1049,A,2.267,2.018,R,3A,EP,24/06/2016,13/08/2016,50,1.892,1.643,0.19,19,
3A3,3,1049,A,2.298,2.049,R,3A,EP,24/06/2016,13/08/2016,50,2.027,1.778,0.13,13,
3A4,3,1049,A,2.24,1.991,R,3A,EP,24/06/2016,13/08/2016,50,1.912,1.663,0.16,16,
4A1,4,1175,A,2.27,2.021,R,4A,EP,24/06/2016,13/08/2016,50,1.914,1.665,0.18,18,
4A2,4,1175,A,2.226,1.977,R,4A,EP,24/06/2016,13/08/2016,50,1.971,1.722,0.13,13,
4A3,4,1175,A,2.294,2.045,R,4A,EP,24/06/2016,13/08/2016,50,1.931,1.682,0.18,18,
4A4,4,1175,A,2.197,1.948,R,4A,EP,24/06/2016,13/08/2016,50,1.792,1.543,0.21,21,
4M1,4,1175,M,2.251,2.002,R,4M,EP,24/06/2016,13/08/2016,50,1.838,1.589,0.21,21,
4M2,4,1175,M,2.229,1.98,R,4M,EP,24/06/2016,13/08/2016,50,1.768,1.519,0.23,23,
4M3,4,1175,M,2.241,1.992,R,4M,EP,24/06/2016,13/08/2016,50,1.828,1.579,0.21,21,
4M4,4,1175,M,2.278,2.029,R,4M,EP,24/06/2016,13/08/2016,50,1.833,1.584,0.22,22,
4T1,4,1175,T,2.237,1.988,R,4T,EP,24/06/2016,13/08/2016,50,1.936,1.687,0.15,15,
4T2,4,1175,T,2.292,2.043,R,4T,EP,24/06/2016,13/08/2016,50,1.884,1.635,0.2,20,
4T3,4,1175,T,2.306,2.057,R,4T,EP,24/06/2016,13/08/2016,50,1.904,1.655,0.2,20,
4T4,4,1175,T,2.268,2.019,R,4T,EP,24/06/2016,13/08/2016,50,1.849,1.6,0.21,21,
4B1,4,1175,B,2.22,1.971,R,4B,EP,24/06/2016,13/08/2016,50,2.088,1.839,0.07,7,
4B2,4,1175,B,2.23,1.981,R,4B,EP,24/06/2016,13/08/2016,50,2.104,1.855,0.06,6,
4B3,4,1175,B,2.255,2.006,R,4B,EP,24/06/2016,13/08/2016,50,1.929,1.68,0.16,16,
4B4,4,1175,B,2.24,1.991,R,4B,EP,24/06/2016,13/08/2016,50,1.958,1.709,0.14,14,
5A1,5,1299,A,2.245,1.996,R,5A,EP,24/06/2016,13/08/2016,50,1.822,1.573,0.21,21,
5A2,5,1299,A,2.267,2.018,R,5A,EP,24/06/2016,13/08/2016,50,1.785,1.666,0.17,17,lable missing
5A3,5,1299,A,2.228,1.979,R,5A,EP,24/06/2016,13/08/2016,50,1.737,1.488,0.25,25,
5A4,5,1299,A,2.225,1.976,R,5A,EP,24/06/2016,13/08/2016,50,1.822,1.573,0.2,20,
6A1,6,1425,A,2.258,2.009,R,6A,EP,24/06/2016,13/08/2016,50,1.813,1.564,0.22,22,
6A2,6,1425,A,2.228,1.979,R,6A,EP,24/06/2016,13/08/2016,50,1.831,1.582,0.2,20,
6A3,6,1425,A,2.245,1.996,R,6A,EP,24/06/2016,13/08/2016,50,1.841,1.592,0.2,20,
6A4,6,1425,A,2.268,2.019,R,6A,EP,24/06/2016,13/08/2016,50,1.827,1.578,0.22,22,
7A1,7,1551,A,2.292,2.043,R,7A,EP,24/06/2016,13/08/2016,50,1.887,1.638,0.2,20,
7A2,7,1551,A,2.256,2.007,R,7A,EP,24/06/2016,13/08/2016,50,1.889,1.64,0.18,18,
7A3,7,1551,A,2.215,1.966,R,7A,EP,24/06/2016,13/08/2016,50,1.876,1.627,0.17,17,
7A4,7,1551,A,2.244,1.995,R,7A,EP,24/06/2016,13/08/2016,50,1.802,1.553,0.22,22,
7M1,7,1551,M,2.305,2.056,R,7M,EP,24/06/2016,13/08/2016,50,1.835,1.586,0.23,23,
7M2,7,1551,M,2.212,1.963,R,7M,EP,24/06/2016,13/08/2016,50,1.753,1.504,0.23,23,
7M3,7,1551,M,2.229,1.98,R,7M,EP,24/06/2016,13/08/2016,50,1.785,1.536,0.22,22,
7M4,7,1551,M,2.277,2.028,R,7M,EP,24/06/2016,13/08/2016,50,1.765,1.516,0.25,25,
7T1,7,1551,T,2.201,1.952,R,7T,EP,24/06/2016,13/08/2016,50,1.858,1.609,0.18,18,
7T2,7,1551,T,2.219,1.97,R,7T,EP,24/06/2016,13/08/2016,50,1.814,1.565,0.21,21,
7T3,7,1551,T,2.203,1.954,R,7T,EP,24/06/2016,13/08/2016,50,1.76,1.511,0.23,23,
7T4,7,1551,T,2.254,2.005,R,7T,EP,24/06/2016,13/08/2016,50,1.801,1.552,0.23,23,
7B1,7,1551,B,2.234,1.985,R,7B,EP,24/06/2016,13/08/2016,50,1.856,1.607,0.19,19,
7B2,7,1551,B,2.205,1.956,R,7B,EP,24/06/2016,13/08/2016,50,1.894,1.645,0.16,16,
7B3,7,1551,B,2.19,1.941,R,7B,EP,24/06/2016,13/08/2016,50,1.843,1.594,0.18,18,
7B4,7,1551,B,2.259,2.01,R,7B,EP,24/06/2016,13/08/2016,50,1.901,1.652,0.18,18,
8A1,8,1684,A,2.232,1.983,R,8A,EP,24/06/2016,13/08/2016,50,1.836,1.587,0.2,20,
8A2,8,1684,A,2.229,1.98,R,8A,EP,24/06/2016,13/08/2016,50,1.761,1.512,0.24,24,
8A3,8,1684,A,2.191,1.942,R,8A,EP,24/06/2016,13/08/2016,50,1.718,1.469,0.24,24,
8A4,8,1684,A,2.275,2.026,R,8A,EP,24/06/2016,13/08/2016,50,1.74,1.491,0.26,26,
9A1,9,1799,A,2.294,2.045,R,9A,EP,24/06/2016,13/08/2016,50,1.812,1.563,0.24,24,
9A2,9,1799,A,2.229,1.98,R,9A,EP,24/06/2016,13/08/2016,50,NA,#VALUE!,#VALUE!,#VALUE!,split
9A3,9,1799,A,2.255,2.006,R,9A,EP,24/06/2016,13/08/2016,50,1.824,1.575,0.21,21,
9A4,9,1799,A,2.248,1.999,R,9A,EP,24/06/2016,13/08/2016,50,1.854,1.605,0.2,20,
10A2,10,1926,A,2.266,2.017,R,10A,EP,24/06/2016,13/08/2016,50,1.756,1.507,0.25,25,
10A3,10,1926,A,2.217,1.968,R,10A,EP,24/06/2016,13/08/2016,50,1.665,1.416,0.28,28,
10A4,10,1926,A,2.203,1.954,R,10A,EP,24/06/2016,13/08/2016,50,1.626,1.377,0.3,30,
10M1,10,1926,M,2.258,2.009,R,10M,EP,24/06/2016,13/08/2016,50,1.795,1.546,0.23,23,
10M2,10,1926,M,2.273,2.024,R,10M,EP,24/06/2016,13/08/2016,50,1.798,1.549,0.23,23,
10M3,10,1926,M,2.189,1.94,R,10M,EP,24/06/2016,13/08/2016,50,1.784,1.535,0.21,21,
10M4,10,1926,M,2.226,1.977,R,10M,EP,24/06/2016,13/08/2016,50,1.796,1.547,0.22,22,
10T1,10,1926,T,2.276,2.027,R,10T,EP,24/06/2016,13/08/2016,50,1.8,1.551,0.23,23,
10T2,10,1926,T,2.272,2.023,R,10T,EP,24/06/2016,13/08/2016,50,1.742,1.493,0.26,26,
10T3,10,1926,T,2.18,1.931,R,10T,EP,24/06/2016,13/08/2016,50,1.798,1.549,0.2,20,
10T4,10,1926,T,2.245,1.996,R,10T,EP,24/06/2016,13/08/2016,50,1.784,1.535,0.23,23,
10B1,10,1926,B,2.315,2.066,R,10B,EP,24/06/2016,13/08/2016,50,1.931,1.682,0.19,19,
10B2,10,1926,B,2.244,1.995,R,10B,EP,24/06/2016,13/08/2016,50,1.842,1.593,0.2,20,
10B3,10,1926,B,2.251,2.002,R,10B,EP,24/06/2016,13/08/2016,50,1.831,1.582,0.21,21,
10B4,10,1926,B,2.266,2.017,R,10B,EP,24/06/2016,13/08/2016,50,1.842,1.593,0.21,21,
1B3,1,794,B,2.252,2.003,R,1B,EP,24/06/2016,13/08/2016,50,1.863,1.614,0.19,19,
10A1,10,1926,A,2.214,1.965,R,10A,EP,24/06/2016,13/08/2016,50,1.658,1.409,0.28,28,
11A1,11,2002,A,2.238,1.989,R,11A,EP,24/06/2016,13/08/2016,50,1.823,1.574,0.21,21,
11A2,11,2002,A,2.281,2.032,R,11A,EP,24/06/2016,13/08/2016,50,1.786,1.537,0.24,24,
11A3,11,2002,A,2.251,2.002,R,11A,EP,24/06/2016,13/08/2016,50,1.751,1.502,0.25,25,split
11A4,11,2002,A,2.192,1.943,R,11A,EP,24/06/2016,13/08/2016,50,1.75,1.501,0.23,23,
11A5,11,2002,A,2.202,1.953,R,11A,EP,24/06/2016,13/08/2016,50,1.827,1.578,0.19,19,
