Label,Init_mass_w_bag,Init_mass,Colour,DOB,DOR,Days,Final_mass_w_tea,Final_mass,Mass_Loss,percentage_mass_loss,,,
K109,2.119,1.8696,R,23/06/2016,14/08/2016,52,1.744,1.4946,0.2,20,,,
K110,2.249,1.9996,R,23/06/2016,14/08/2016,52,1.775,1.5256,0.24,24,,,
K111,2.292,2.0426,R,23/06/2016,14/08/2016,52,1.789,1.5396,0.25,25,,,
K112,2.217,1.9676,R,23/06/2016,14/08/2016,52,1.745,1.4956,0.24,24,,,
K113,2.196,1.9466,R,23/06/2016,14/08/2016,52,1.74,1.4906,0.23,23,,,
K114,2.22,1.9706,R,23/06/2016,14/08/2016,52,1.894,1.6446,0.17,17,,,
K115,2.279,2.0296,R,23/06/2016,14/08/2016,52,1.848,1.5986,0.21,21,,,
K116,2.292,2.0426,R,23/06/2016,14/08/2016,52,1.946,1.6966,0.17,17,,,
K117,2.189,1.9396,R,23/06/2016,14/08/2016,52,1.859,1.6096,0.17,17,,,
K118,2.293,2.0436,R,23/06/2016,14/08/2016,52,1.92,1.6706,0.18,18,,,
K119,2.31,2.0606,R,23/06/2016,14/08/2016,52,1.68,1.4306,0.31,31,,,
K120,2.233,1.9836,R,23/06/2016,14/08/2016,52,1.69,1.4406,0.27,27,,,
K121,2.222,1.9726,R,23/06/2016,14/08/2016,52,1.641,1.3916,0.29,29,,,
K122,2.266,2.0166,R,23/06/2016,14/08/2016,52,1.694,1.4446,0.28,28,,,
K123,2.266,2.0166,R,23/06/2016,14/08/2016,52,1.705,1.4556,0.28,28,,,
K124,2.179,1.9296,R,23/06/2016,14/08/2016,52,1.642,1.3926,0.28,28,,,
K125,2.168,1.9186,R,23/06/2016,14/08/2016,52,1.711,1.4616,0.24,24,,,
K126,2.21,1.9606,R,23/06/2016,14/08/2016,52,1.652,1.4026,0.28,28,,,
K127,2.19,1.9406,R,23/06/2016,14/08/2016,52,1.683,1.4336,0.26,26,,,
K128,2.254,2.0046,R,23/06/2016,14/08/2016,52,1.748,1.4986,0.25,25,,,
K129,2.197,1.9476,R,23/06/2016,14/08/2016,52,1.791,1.5416,0.21,21,,,
K130,2.236,1.9866,R,23/06/2016,14/08/2016,52,1.704,1.4546,0.27,27,,,
K131,2.18,1.9306,R,23/06/2016,14/08/2016,52,1.679,1.4296,0.26,26,,,
K132,2.282,2.0326,R,23/06/2016,14/08/2016,52,1.699,1.4496,0.29,29,,,
K133,2.287,2.0376,R,23/06/2016,14/08/2016,52,1.78,1.5306,0.25,25,,,
K134,2.284,2.0346,R,23/06/2016,14/08/2016,52,1.69,1.4406,0.29,29,,,
K135,2.18,1.9306,R,23/06/2016,14/08/2016,52,1.656,1.4066,0.27,27,,,
K136,2.177,1.9276,R,23/06/2016,14/08/2016,52,1.605,1.3556,0.3,30,,,
K137,2.185,1.9356,R,23/06/2016,14/08/2016,52,1.817,1.5676,0.19,19,,,
K138,2.191,1.9416,R,23/06/2016,14/08/2016,52,1.795,1.5456,0.2,20,,,
K139,2.162,1.9126,R,23/06/2016,14/08/2016,52,1.777,1.5276,0.2,20,,,
K140,2.243,1.9936,R,23/06/2016,14/08/2016,52,1.889,1.6396,0.18,18,,,
K141,2.134,1.8846,R,23/06/2016,14/08/2016,52,1.747,1.4976,0.21,21,,,
K142,2.23,1.9806,R,23/06/2016,14/08/2016,52,1.776,1.5266,0.23,23,,,
K143,2.227,1.9776,R,23/06/2016,14/08/2016,52,1.778,1.5286,0.23,23,,,
K144,2.231,1.9816,R,23/06/2016,14/08/2016,52,1.776,1.5266,0.23,23,,,
K145,2.159,1.9096,R,23/06/2016,14/08/2016,52,1.706,1.4566,0.24,24,,,
K146,2.216,1.9666,R,23/06/2016,14/08/2016,52,1.771,1.5216,0.23,23,,,
K147,2.226,1.9766,R,23/06/2016,14/08/2016,52,1.764,1.5146,0.23,23,,,
K148,2.269,2.0196,R,23/06/2016,14/08/2016,52,1.84,1.5906,0.21,21,,,
K149,2.196,1.9466,R,23/06/2016,14/08/2016,52,1.771,1.5216,0.22,22,,,
K150,2.174,1.9246,R,23/06/2016,14/08/2016,52,1.715,1.4656,0.24,24,,,
K151,2.239,1.9896,R,23/06/2016,14/08/2016,52,1.83,1.5806,0.21,21,,,
K152,2.269,2.0196,R,23/06/2016,14/08/2016,52,1.805,1.5556,0.23,23,,,
K153,2.161,1.9116,R,23/06/2016,14/08/2016,52,1.755,1.5056,0.21,21,,,
K154,2.216,1.9666,R,23/06/2016,14/08/2016,52,1.775,1.5256,0.22,22,,,
K155,2.255,2.0056,R,23/06/2016,14/08/2016,52,1.777,1.5276,0.24,24,,,
K156,2.225,1.9756,R,23/06/2016,14/08/2016,52,1.701,1.4516,0.27,27,,,
K157,2.271,2.0216,R,23/06/2016,14/08/2016,52,1.744,1.4946,0.26,26,,,
K158,2.195,1.9456,R,23/06/2016,14/08/2016,52,1.721,1.4716,0.24,24,,,
K159,2.227,1.9776,R,23/06/2016,14/08/2016,52,1.689,1.4396,0.27,27,,,
K160,2.289,2.0396,R,23/06/2016,14/08/2016,52,1.725,1.4756,0.28,28,,,
K161,2.323,2.0736,R,23/06/2016,14/08/2016,52,1.864,1.6146,0.22,22,,,
K162,2.18,1.9306,R,23/06/2016,14/08/2016,52,1.739,1.4896,0.23,23,,,
K163,2.304,2.0546,R,23/06/2016,14/08/2016,52,1.89,1.6406,0.2,20,,,
K164,2.322,2.0726,R,23/06/2016,14/08/2016,52,1.905,1.6556,0.2,20,,,
K165,2.208,1.9586,R,23/06/2016,14/08/2016,52,1.797,1.5476,0.21,21,,,
K166,2.252,2.0026,R,23/06/2016,14/08/2016,52,1.817,1.5676,0.22,22,,,
K167,2.234,1.9846,R,23/06/2016,14/08/2016,52,1.827,1.5776,0.21,21,,,
K168,2.264,2.0146,R,23/06/2016,14/08/2016,52,1.813,1.5636,0.22,22,,,
K169,2.314,2.0646,R,23/06/2016,14/08/2016,52,1.839,1.5896,0.23,23,,,
K170,2.325,2.0756,R,23/06/2016,14/08/2016,52,1.902,1.6526,0.2,20,,,
K171,2.251,2.0016,R,23/06/2016,14/08/2016,52,1.887,1.6376,0.18,18,,,
K172,2.246,1.9966,R,23/06/2016,14/08/2016,52,1.823,1.5736,0.21,21,,,
K173,2.266,2.0166,R,23/06/2016,14/08/2016,52,1.9,1.6506,0.18,18,,,
K174,2.248,1.9986,R,23/06/2016,14/08/2016,52,1.824,1.5746,0.21,21,,,
K175,2.286,2.0366,R,23/06/2016,14/08/2016,52,1.87,1.6206,0.2,20,,,
K176,2.273,2.0236,R,23/06/2016,14/08/2016,52,1.834,1.5846,0.22,22,,,
K177,2.287,2.0376,R,23/06/2016,14/08/2016,52,1.813,1.5636,0.23,23,,,
K178,2.303,2.0536,R,23/06/2016,14/08/2016,52,1.811,1.5616,0.24,24,,,
1A1,2.262,2.013,R,24/06/2016,13/08/2016,50,1.951,1.702,0.15,15,,,
1A2,2.175,1.926,R,24/06/2016,13/08/2016,50,1.833,1.584,0.18,18,,,
1A3,2.244,1.995,R,24/06/2016,13/08/2016,50,1.922,1.673,0.16,16,,,
1A4,2.329,2.08,R,24/06/2016,13/08/2016,50,2,1.751,0.16,16,,,
2A1,2.244,1.995,R,24/06/2016,13/08/2016,50,1.813,1.564,0.22,22,,,
2A2,2.155,1.906,R,24/06/2016,13/08/2016,50,1.811,1.562,0.18,18,,,
2A3,2.212,1.963,R,24/06/2016,13/08/2016,50,1.857,1.608,0.18,18,,,
2A4,2.233,1.984,R,24/06/2016,13/08/2016,50,1.776,1.527,0.23,23,,,
3A1,2.228,1.979,R,24/06/2016,13/08/2016,50,1.775,1.526,0.23,23,,,
3A2,2.267,2.018,R,24/06/2016,13/08/2016,50,1.892,1.643,0.19,19,,,
3A3,2.298,2.049,R,24/06/2016,13/08/2016,50,2.027,1.778,0.13,13,,,
3A4,2.24,1.991,R,24/06/2016,13/08/2016,50,1.912,1.663,0.16,16,,,
4A1,2.27,2.021,R,24/06/2016,13/08/2016,50,1.914,1.665,0.18,18,,,
4A2,2.226,1.977,R,24/06/2016,13/08/2016,50,1.971,1.722,0.13,13,,,
4A3,2.294,2.045,R,24/06/2016,13/08/2016,50,1.931,1.682,0.18,18,,,
4A4,2.197,1.948,R,24/06/2016,13/08/2016,50,1.792,1.543,0.21,21,,,
5A1,2.245,1.996,R,24/06/2016,13/08/2016,50,1.822,1.573,0.21,21,,,
5A2,2.267,2.018,R,24/06/2016,13/08/2016,50,1.785,1.666,0.17,17,,,
5A3,2.228,1.979,R,24/06/2016,13/08/2016,50,1.737,1.488,0.25,25,,,
5A4,2.225,1.976,R,24/06/2016,13/08/2016,50,1.822,1.573,0.2,20,,,
6A1,2.258,2.009,R,24/06/2016,13/08/2016,50,1.813,1.564,0.22,22,,,
6A2,2.228,1.979,R,24/06/2016,13/08/2016,50,1.831,1.582,0.2,20,,,
6A3,2.245,1.996,R,24/06/2016,13/08/2016,50,1.841,1.592,0.2,20,,,
6A4,2.268,2.019,R,24/06/2016,13/08/2016,50,1.827,1.578,0.22,22,,,
7A1,2.292,2.043,R,24/06/2016,13/08/2016,50,1.887,1.638,0.2,20,,,
7A2,2.256,2.007,R,24/06/2016,13/08/2016,50,1.889,1.64,0.18,18,,,
7A3,2.215,1.966,R,24/06/2016,13/08/2016,50,1.876,1.627,0.17,17,,,
7A4,2.244,1.995,R,24/06/2016,13/08/2016,50,1.802,1.553,0.22,22,,,
8A1,2.232,1.983,R,24/06/2016,13/08/2016,50,1.836,1.587,0.2,20,,,
8A2,2.229,1.98,R,24/06/2016,13/08/2016,50,1.761,1.512,0.24,24,,,
8A3,2.191,1.942,R,24/06/2016,13/08/2016,50,1.718,1.469,0.24,24,,,
8A4,2.275,2.026,R,24/06/2016,13/08/2016,50,1.74,1.491,0.26,26,,,
9A1,2.294,2.045,R,24/06/2016,13/08/2016,50,1.812,1.563,0.24,24,,,
9A3,2.255,2.006,R,24/06/2016,13/08/2016,50,1.824,1.575,0.21,21,,,
9A4,2.248,1.999,R,24/06/2016,13/08/2016,50,1.854,1.605,0.2,20,,,
10A2,2.266,2.017,R,24/06/2016,13/08/2016,50,1.756,1.507,0.25,25,,,
10A3,2.217,1.968,R,24/06/2016,13/08/2016,50,1.665,1.416,0.28,28,,,
10A4,2.203,1.954,R,24/06/2016,13/08/2016,50,1.626,1.377,0.3,30,,,
10A1,2.214,1.965,R,24/06/2016,13/08/2016,50,1.658,1.409,0.28,28,,,
11A1,2.238,1.989,R,24/06/2016,13/08/2016,50,1.823,1.574,0.21,21,,,
11A2,2.281,2.032,R,24/06/2016,13/08/2016,50,1.786,1.537,0.24,24,,,
11A3,2.251,2.002,R,24/06/2016,13/08/2016,50,1.751,1.502,0.25,25,Mean R,SD R,CV
11A4,2.192,1.943,R,24/06/2016,13/08/2016,50,1.75,1.501,0.23,23,22.61589404,3.790973362,16.7624298
K181,2.188,1.9406,G,23/06/2016,14/08/2016,52,0.862,0.6146,0.68,68,,,
K182,2.008,1.7606,G,23/06/2016,14/08/2016,52,0.882,0.6346,0.64,64,,,
K183,2.025,1.7776,G,23/06/2016,14/08/2016,52,0.763,0.5156,0.71,71,,,
K184,2.067,1.8196,G,23/06/2016,14/08/2016,52,0.789,0.5416,0.7,70,,,
K185,2.114,1.8666,G,23/06/2016,14/08/2016,52,0.779,0.5316,0.72,72,,,
K186,2.026,1.7786,G,23/06/2016,14/08/2016,52,0.785,0.5376,0.7,70,,,
K187,2.097,1.8496,G,23/06/2016,14/08/2016,52,1.005,0.7576,0.59,59,,,
K188,2.018,1.7706,G,23/06/2016,14/08/2016,52,1.115,0.8676,0.51,51,,,
K189,2.018,1.7706,G,23/06/2016,14/08/2016,52,1.035,0.7876,0.56,56,,,
K190,2.164,1.9166,G,23/06/2016,14/08/2016,52,1.206,0.9586,0.5,50,,,
K191,2.152,1.9046,G,23/06/2016,14/08/2016,52,1.098,0.8506,0.55,55,,,
K192,2.189,1.9416,G,23/06/2016,14/08/2016,52,1.129,0.8816,0.55,55,,,
K193,2.153,1.9056,G,23/06/2016,14/08/2016,52,0.941,0.6936,0.64,64,,,
K194,2.165,1.9176,G,23/06/2016,14/08/2016,52,0.979,0.7316,0.62,62,,,
K195,2.201,1.9536,G,23/06/2016,14/08/2016,52,1.106,0.8586,0.56,56,,,
K196,2.064,1.8166,G,23/06/2016,14/08/2016,52,0.84,0.5926,0.67,67,,,
K197,2.175,1.9276,G,23/06/2016,14/08/2016,52,1.033,0.7856,0.59,59,,,
K198,2.254,2.0066,G,23/06/2016,14/08/2016,52,0.86,0.6126,0.69,69,,,
K199,2.141,1.8936,G,23/06/2016,14/08/2016,52,0.962,0.7146,0.62,62,,,
K200,2.072,1.8246,G,23/06/2016,14/08/2016,52,0.933,0.6856,0.62,62,,,
K201,2.159,1.9116,G,23/06/2016,14/08/2016,52,1.042,0.7946,0.58,58,,,
K202,2.133,1.8856,G,23/06/2016,14/08/2016,52,0.98,0.7326,0.61,61,,,
K203,2.055,1.8076,G,23/06/2016,14/08/2016,52,0.769,0.5216,0.71,71,,,
K204,2.076,1.8286,G,23/06/2016,14/08/2016,52,0.831,0.5836,0.68,68,,,
K205,2.108,1.8606,G,23/06/2016,14/08/2016,52,0.92,0.6726,0.64,64,,,
K206,2.243,1.9956,G,23/06/2016,14/08/2016,52,0.959,0.7116,0.64,64,,,
K207,2.058,1.8106,G,23/06/2016,14/08/2016,52,0.944,0.6966,0.62,62,,,
K208,2.044,1.7966,G,23/06/2016,14/08/2016,52,0.978,0.7306,0.59,59,,,
K209,2.162,1.9146,G,23/06/2016,14/08/2016,52,0.998,0.7506,0.61,61,,,
K210,2.248,2.0006,G,23/06/2016,14/08/2016,52,0.919,0.6716,0.66,66,,,
K211,2.052,1.8046,G,23/06/2016,14/08/2016,52,0.91,0.6626,0.63,63,,,
K212,2.103,1.8556,G,23/06/2016,14/08/2016,52,0.944,0.6966,0.62,62,,,
K213,2.174,1.9266,G,23/06/2016,14/08/2016,52,0.949,0.7016,0.64,64,,,
K214,2.112,1.8646,G,23/06/2016,14/08/2016,52,0.934,0.6866,0.63,63,,,
K215,2.174,1.9266,G,23/06/2016,14/08/2016,52,0.972,0.7246,0.62,62,,,
K216,2.205,1.9576,G,23/06/2016,14/08/2016,52,1.085,0.8376,0.57,57,,,
K217,2.201,1.9536,G,23/06/2016,14/08/2016,52,0.925,0.6776,0.65,65,,,
K218,2.102,1.8546,G,23/06/2016,14/08/2016,52,0.837,0.5896,0.68,68,,,
K219,2.133,1.8856,G,23/06/2016,14/08/2016,52,0.946,0.6986,0.63,63,,,
K220,2.04,1.7926,G,23/06/2016,14/08/2016,52,0.937,0.6896,0.62,62,,,
K221,2.172,1.9246,G,23/06/2016,14/08/2016,52,0.908,0.6606,0.66,66,,,
K222,2.133,1.8856,G,23/06/2016,14/08/2016,52,0.816,0.5686,0.7,70,,,
K223,2.08,1.8326,G,23/06/2016,14/08/2016,52,1.022,0.7746,0.58,58,,,
K224,2.118,1.8706,G,23/06/2016,14/08/2016,52,0.915,0.6676,0.64,64,,,
K225,2.229,1.9816,G,23/06/2016,14/08/2016,52,1.214,0.9666,0.51,51,,,
K226,2.171,1.9236,G,23/06/2016,14/08/2016,52,1.197,0.9496,0.51,51,,,
K227,2.133,1.8856,G,23/06/2016,14/08/2016,52,1.074,0.8266,0.56,56,,,
K228,2.116,1.8686,G,23/06/2016,14/08/2016,52,1.186,0.9386,0.5,50,,,
K229,2.115,1.8676,G,23/06/2016,14/08/2016,52,0.962,0.7146,0.62,62,,,
K230,2.149,1.9016,G,23/06/2016,14/08/2016,52,0.906,0.6586,0.65,65,,,
K231,2.104,1.8566,G,23/06/2016,14/08/2016,52,1.001,0.7536,0.59,59,,,
K232,2.027,1.7796,G,23/06/2016,14/08/2016,52,0.858,0.6106,0.66,66,,,
K233,2.112,1.8646,G,23/06/2016,14/08/2016,52,0.894,0.6466,0.65,65,,,
K234,2.124,1.8766,G,23/06/2016,14/08/2016,52,0.869,0.6216,0.67,67,,,
K235,2.123,1.8756,G,23/06/2016,14/08/2016,52,0.927,0.6796,0.64,64,,,
K236,2.068,1.8206,G,23/06/2016,14/08/2016,52,1.095,0.8476,0.53,53,,,
K237,2.082,1.8346,G,23/06/2016,14/08/2016,52,1.011,0.7636,0.58,58,,,
K238,2.067,1.8196,G,23/06/2016,14/08/2016,52,1.102,0.8546,0.53,53,,,
K239,2.122,1.8746,G,23/06/2016,14/08/2016,52,1.033,0.7856,0.58,58,,,
K240,2.094,1.8466,G,23/06/2016,14/08/2016,52,1.082,0.8346,0.55,55,,,
K241,1.989,1.7416,G,23/06/2016,14/08/2016,52,0.972,0.7246,0.58,58,,,
K242,2.03,1.7826,G,23/06/2016,14/08/2016,52,0.75,0.5026,0.72,72,,,
K243,2.029,1.7816,G,23/06/2016,14/08/2016,52,0.903,0.6556,0.63,63,,,
K244,2.088,1.8406,G,23/06/2016,14/08/2016,52,0.773,0.5256,0.71,71,,,
K245,2.007,1.7596,G,23/06/2016,14/08/2016,52,0.845,0.5976,0.66,66,,,
K246,2.132,1.8846,G,23/06/2016,14/08/2016,52,0.957,0.7096,0.62,62,,,
K247,2.011,1.7636,G,23/06/2016,14/08/2016,52,1.085,0.8376,0.53,53,,,
K248,1.982,1.7346,G,23/06/2016,14/08/2016,52,0.916,0.6686,0.61,61,,,
K249,1.993,1.7456,G,23/06/2016,14/08/2016,52,0.827,0.5796,0.67,67,,,
K250,2.057,1.8096,G,23/06/2016,14/08/2016,52,1.282,1.0346,0.43,43,,,
K251,2.07,1.8226,G,23/06/2016,14/08/2016,52,1.014,0.7666,0.58,58,,,
K252,2.021,1.7736,G,23/06/2016,14/08/2016,52,0.992,0.7446,0.58,58,,,
K253,1.975,1.7276,G,23/06/2016,14/08/2016,52,0.72,0.4726,0.73,73,,,
K254,1.95,1.7026,G,23/06/2016,14/08/2016,52,0.805,0.5576,0.67,67,,,
K255,1.972,1.7246,G,23/06/2016,14/08/2016,52,0.824,0.5766,0.67,67,,,
K256,2.074,1.8266,G,23/06/2016,14/08/2016,52,0.83,0.5826,0.68,68,,,
K257,2.149,1.9016,G,23/06/2016,14/08/2016,52,0.86,0.6126,0.68,68,,,
K258,1.92,1.6726,G,23/06/2016,14/08/2016,52,0.82,0.5726,0.66,66,,,
K259,2.04,1.7926,G,23/06/2016,14/08/2016,52,0.849,0.6016,0.66,66,,,
K260,2.043,1.7956,G,23/06/2016,14/08/2016,52,1.072,0.8246,0.54,54,,,
K261,2.032,1.7846,G,23/06/2016,14/08/2016,52,1.206,0.9586,0.46,46,,,
K262,2.051,1.8036,G,23/06/2016,14/08/2016,52,0.969,0.7216,0.6,60,,,
K263,1.998,1.7506,G,23/06/2016,14/08/2016,52,1.162,0.9146,0.48,48,,,
K264,2.162,1.9146,G,23/06/2016,14/08/2016,52,0.906,0.6586,0.66,66,,,
K265,2.011,1.7636,G,23/06/2016,14/08/2016,52,0.977,0.7296,0.59,59,,,
K266,2.153,1.9056,G,23/06/2016,14/08/2016,52,0.99,0.7426,0.61,61,,,
K267,2.013,1.7656,G,23/06/2016,14/08/2016,52,0.823,0.5756,0.67,67,,,
K268,1.95,1.7026,G,23/06/2016,14/08/2016,52,0.862,0.6146,0.64,64,,,
K269,2.105,1.8576,G,23/06/2016,14/08/2016,52,0.968,0.7206,0.61,61,,,
K270,2.128,1.8806,G,23/06/2016,14/08/2016,52,0.887,0.6396,0.66,66,,,
K271,1.984,1.7366,G,23/06/2016,14/08/2016,52,0.837,0.5896,0.66,66,,,
K272,2.138,1.8906,G,23/06/2016,14/08/2016,52,1.073,0.8256,0.56,56,,,
K273,2.056,1.8086,G,23/06/2016,14/08/2016,52,1.107,0.8596,0.52,52,,,
K274,1.948,1.7006,G,23/06/2016,14/08/2016,52,0.927,0.6796,0.6,60,,,
K275,2.064,1.8166,G,23/06/2016,14/08/2016,52,0.737,0.4896,0.73,73,,,
K276,1.987,1.7396,G,23/06/2016,14/08/2016,52,0.825,0.5776,0.67,67,,,
K277,1.867,1.6196,G,23/06/2016,14/08/2016,52,0.922,0.6746,0.58,58,,,
K278,2.11,1.8626,G,23/06/2016,14/08/2016,52,0.833,0.5856,0.69,69,,,
K279,2.134,1.8866,G,23/06/2016,14/08/2016,52,0.984,0.7366,0.61,61,,,
K280,1.944,1.6966,G,23/06/2016,14/08/2016,52,0.814,0.5666,0.67,67,,,
K281,2.114,1.8666,G,23/06/2016,14/08/2016,52,0.93,0.6826,0.63,63,,,
K282,2.012,1.7646,G,23/06/2016,14/08/2016,52,0.861,0.6136,0.65,65,,,
K283,2.12,1.8726,G,23/06/2016,14/08/2016,52,1.071,0.8236,0.56,56,,,
K284,2.063,1.8156,G,23/06/2016,14/08/2016,52,0.96,0.7126,0.61,61,,,
K285,2.01,1.7626,G,23/06/2016,14/08/2016,52,0.888,0.6406,0.64,64,,,
K286,2.185,1.9376,G,23/06/2016,14/08/2016,52,1.03,0.7826,0.6,60,,,
K287,2.013,1.7656,G,23/06/2016,14/08/2016,52,0.881,0.6336,0.64,64,,,
K288,1.985,1.7376,G,23/06/2016,14/08/2016,52,0.857,0.6096,0.65,65,,,
1A1,2.136,1.889,G,24/06/2016,13/08/2016,50,1.525,1.278,0.32,32,,,
1A2,2.056,1.809,G,24/06/2016,13/08/2016,50,1.196,0.949,0.48,48,,,
1A3,2.128,1.881,G,24/06/2016,13/08/2016,50,1.258,1.011,0.46,46,,,
1A4,2.058,1.811,G,24/06/2016,13/08/2016,50,1.299,1.052,0.42,42,,,
2A1,2.065,1.818,G,24/06/2016,13/08/2016,50,1.203,0.956,0.47,47,,,
2A2,1.973,1.726,G,24/06/2016,13/08/2016,50,1.394,1.147,0.34,34,,,
2A3,2.106,1.859,G,24/06/2016,13/08/2016,50,1.339,1.092,0.41,41,,,
2A4,2.043,1.796,G,24/06/2016,13/08/2016,50,1.215,0.968,0.46,46,,,
3A1,2.063,1.816,G,24/06/2016,13/08/2016,50,1.152,0.905,0.5,50,,,
3A2,2.058,1.811,G,24/06/2016,13/08/2016,50,1.241,0.994,0.45,45,,,
3A3,2.016,1.769,G,24/06/2016,13/08/2016,50,1.401,1.154,0.35,35,,,
3A4,2.094,1.847,G,24/06/2016,13/08/2016,50,1.339,1.092,0.41,41,,,
4A1,2.103,1.856,G,24/06/2016,13/08/2016,50,1.363,1.116,0.4,40,,,
4A2,2.161,1.914,G,24/06/2016,13/08/2016,50,1.522,1.275,0.33,33,,,
4A3,2.057,1.81,G,24/06/2016,13/08/2016,50,1.372,1.125,0.38,38,,,
4A4,2.129,1.882,G,24/06/2016,13/08/2016,50,1.31,1.063,0.44,44,,,
5A1,2.035,1.788,G,24/06/2016,13/08/2016,50,1.224,0.977,0.45,45,,,
5A2,2.195,1.948,G,24/06/2016,13/08/2016,50,1.382,1.135,0.42,42,,,
5A3,2.112,1.865,G,24/06/2016,13/08/2016,50,1.189,0.942,0.5,50,,,
5A4,2.054,1.807,G,24/06/2016,13/08/2016,50,1.131,1.014,0.44,44,,,
6A1,2.03,1.783,G,24/06/2016,13/08/2016,50,1.205,0.958,0.46,46,,,
6A2,2.091,1.844,G,24/06/2016,13/08/2016,50,1.27,1.023,0.45,45,,,
6A3,2.049,1.802,G,24/06/2016,13/08/2016,50,1.257,1.01,0.44,44,,,
6A4,2.105,1.858,G,24/06/2016,13/08/2016,50,1.203,0.956,0.49,49,,,
7A1,2.092,1.845,G,24/06/2016,13/08/2016,50,1.388,1.141,0.38,38,,,
7A2,1.951,1.704,G,24/06/2016,13/08/2016,50,1.24,0.993,0.42,42,,,
7A3,2.019,1.772,G,24/06/2016,13/08/2016,50,1.258,1.011,0.43,43,,,
7A4,2.025,1.778,G,24/06/2016,13/08/2016,50,1.199,0.952,0.46,46,,,
8A1,2.053,1.806,G,24/06/2016,13/08/2016,50,1.17,0.923,0.49,49,,,
8A2,2.076,1.829,G,24/06/2016,13/08/2016,50,1.17,0.923,0.5,50,,,
