"","Label","Site","Elevation","Treatment","Init__w_bag","Init","tea_type","Plot","Site.1","DOB","DOR","Days","Final_w_bag","Final","Mass_loss","Percent_mass_loss","Average_moisture"
"22","6A2",6,1425,"A",2.091,1.844,"G","6A","EP","24/06/2016","13/08/2016",50,1.27,1.023,0.45,45,25.95
"23","6A3",6,1425,"A",2.049,1.802,"G","6A","EP","24/06/2016","13/08/2016",50,1.257,1.01,0.44,44,30.05
"24","6A4",6,1425,"A",2.105,1.858,"G","6A","EP","24/06/2016","13/08/2016",50,1.203,0.956,0.49,49,19.4
"25","7A1",7,1551,"A",2.092,1.845,"G","7A","EP","24/06/2016","13/08/2016",50,1.388,1.141,0.38,38,25.13333333
"26","7A2",7,1551,"A",1.951,1.704,"G","7A","EP","24/06/2016","13/08/2016",50,1.24,0.993,0.42,42,28.8
"27","7A3",7,1551,"A",2.019,1.772,"G","7A","EP","24/06/2016","13/08/2016",50,1.258,1.011,0.43,43,23.35
"28","7A4",7,1551,"A",2.025,1.778,"G","7A","EP","24/06/2016","13/08/2016",50,1.199,0.952,0.46,46,32.9
"29","8A1",8,1684,"A",2.053,1.806,"G","8A","EP","24/06/2016","13/08/2016",50,1.17,0.923,0.49,49,22.38333333
"30","8A2",8,1684,"A",2.076,1.829,"G","8A","EP","24/06/2016","13/08/2016",50,1.17,0.923,0.5,50,46.75
"31","8A3",8,1684,"A",2.138,1.891,"G","8A","EP","24/06/2016","13/08/2016",50,1.208,0.961,0.49,49,48.05
"32","8A4",8,1684,"A",2.086,1.839,"G","8A","EP","24/06/2016","13/08/2016",50,1.158,0.911,0.5,50,42.75
"33","9A1",9,1799,"A",2.097,1.85,"G","9A","EP","24/06/2016","13/08/2016",50,1.091,0.844,0.54,54,45.85
"34","9A2",9,1799,"A",2.016,1.769,"G","9A","EP","24/06/2016","13/08/2016",50,1.044,0.797,0.55,55,19.55
"35","9A3",9,1799,"A",2.063,1.816,"G","9A","EP","24/06/2016","13/08/2016",50,1.185,0.938,0.48,48,26.15
"36","9A4",9,1799,"A",2.086,1.839,"G","9A","EP","24/06/2016","13/08/2016",50,1.047,0.8,0.57,57,22.55
"37","10A1",10,1926,"A",1.962,1.715,"G","10A","EP","24/06/2016","13/08/2016",50,0.811,0.564,0.67,67,22.75
"38","10A2",10,1926,"A",2.057,1.81,"G","10A","EP","24/06/2016","13/08/2016",50,0.835,0.588,0.68,68,31.95
"39","10A3",10,1926,"A",1.885,1.638,"G","10A","EP","24/06/2016","13/08/2016",50,0.857,0.61,0.63,63,26.05
"40","10A4",10,1926,"A",1.957,1.71,"G","10A","EP","24/06/2016","13/08/2016",50,0.706,0.589,0.66,66,28
"41","1A1",1,794,"A",2.262,2.013,"R","1A","EP","24/06/2016","13/08/2016",50,1.951,1.702,0.15,15,6.8
"42","1A2",1,794,"A",2.175,1.926,"R","1A","EP","24/06/2016","13/08/2016",50,1.833,1.584,0.18,18,5.4
"43","1A3",1,794,"A",2.244,1.995,"R","1A","EP","24/06/2016","13/08/2016",50,1.922,1.673,0.16,16,4.7
"44","1A4",1,794,"A",2.329,2.08,"R","1A","EP","24/06/2016","13/08/2016",50,2,1.751,0.16,16,5.633333333
"45","2A1",2,922,"A",2.244,1.995,"R","2A","EP","24/06/2016","13/08/2016",50,1.813,1.564,0.22,22,5.15
"46","2A2",2,922,"A",2.155,1.906,"R","2A","EP","24/06/2016","13/08/2016",50,1.811,1.562,0.18,18,6.15
"47","2A3",2,922,"A",2.212,1.963,"R","2A","EP","24/06/2016","13/08/2016",50,1.857,1.608,0.18,18,8.65
"48","2A4",2,922,"A",2.233,1.984,"R","2A","EP","24/06/2016","13/08/2016",50,1.776,1.527,0.23,23,5.55
"49","3A1",3,1049,"A",2.228,1.979,"R","3A","EP","24/06/2016","13/08/2016",50,1.775,1.526,0.23,23,6.783333333
"50","3A2",3,1049,"A",2.267,2.018,"R","3A","EP","24/06/2016","13/08/2016",50,1.892,1.643,0.19,19,13.05
"51","3A3",3,1049,"A",2.298,2.049,"R","3A","EP","24/06/2016","13/08/2016",50,2.027,1.778,0.13,13,18.4
"52","3A4",3,1049,"A",2.24,1.991,"R","3A","EP","24/06/2016","13/08/2016",50,1.912,1.663,0.16,16,12.35
"53","4A1",4,1175,"A",2.27,2.021,"R","4A","EP","24/06/2016","13/08/2016",50,1.914,1.665,0.18,18,14.6
"54","4A2",4,1175,"A",2.226,1.977,"R","4A","EP","24/06/2016","13/08/2016",50,1.971,1.722,0.13,13,24.15
"55","4A3",4,1175,"A",2.294,2.045,"R","4A","EP","24/06/2016","13/08/2016",50,1.931,1.682,0.18,18,20.75
"56","4A4",4,1175,"A",2.197,1.948,"R","4A","EP","24/06/2016","13/08/2016",50,1.792,1.543,0.21,21,24.4
"57","5A1",5,1299,"A",2.245,1.996,"R","5A","EP","24/06/2016","13/08/2016",50,1.822,1.573,0.21,21,7.5
"58","5A2",5,1299,"A",2.267,2.018,"R","5A","EP","24/06/2016","13/08/2016",50,1.785,1.666,0.17,17,27.5
"59","5A3",5,1299,"A",2.228,1.979,"R","5A","EP","24/06/2016","13/08/2016",50,1.737,1.488,0.25,25,29.05
"60","5A4",5,1299,"A",2.225,1.976,"R","5A","EP","24/06/2016","13/08/2016",50,1.822,1.573,0.2,20,17.2
"61","6A1",6,1425,"A",2.258,2.009,"R","6A","EP","24/06/2016","13/08/2016",50,1.813,1.564,0.22,22,24.58333333
"62","6A2",6,1425,"A",2.228,1.979,"R","6A","EP","24/06/2016","13/08/2016",50,1.831,1.582,0.2,20,25.95
"63","6A3",6,1425,"A",2.245,1.996,"R","6A","EP","24/06/2016","13/08/2016",50,1.841,1.592,0.2,20,30.05
"64","6A4",6,1425,"A",2.268,2.019,"R","6A","EP","24/06/2016","13/08/2016",50,1.827,1.578,0.22,22,19.4
"65","7A1",7,1551,"A",2.292,2.043,"R","7A","EP","24/06/2016","13/08/2016",50,1.887,1.638,0.2,20,25.13333333
"66","7A2",7,1551,"A",2.256,2.007,"R","7A","EP","24/06/2016","13/08/2016",50,1.889,1.64,0.18,18,28.8
"67","7A3",7,1551,"A",2.215,1.966,"R","7A","EP","24/06/2016","13/08/2016",50,1.876,1.627,0.17,17,23.35
"68","7A4",7,1551,"A",2.244,1.995,"R","7A","EP","24/06/2016","13/08/2016",50,1.802,1.553,0.22,22,32.9
"69","8A1",8,1684,"A",2.232,1.983,"R","8A","EP","24/06/2016","13/08/2016",50,1.836,1.587,0.2,20,46.75
"70","8A2",8,1684,"A",2.229,1.98,"R","8A","EP","24/06/2016","13/08/2016",50,1.761,1.512,0.24,24,48.05
"71","8A3",8,1684,"A",2.191,1.942,"R","8A","EP","24/06/2016","13/08/2016",50,1.718,1.469,0.24,24,42.75
"72","8A4",8,1684,"A",2.275,2.026,"R","8A","EP","24/06/2016","13/08/2016",50,1.74,1.491,0.26,26,45.85
"73","9A1",9,1799,"A",2.294,2.045,"R","9A","EP","24/06/2016","13/08/2016",50,1.812,1.563,0.24,24,19.55
"74","9A3",9,1799,"A",2.255,2.006,"R","9A","EP","24/06/2016","13/08/2016",50,1.824,1.575,0.21,21,26.15
"75","9A4",9,1799,"A",2.248,1.999,"R","9A","EP","24/06/2016","13/08/2016",50,1.854,1.605,0.2,20,22.55
"76","10A1",10,1926,"A",2.214,1.965,"R","10A","EP","24/06/2016","13/08/2016",50,1.658,1.409,0.28,28,22.75
"77","10A2",10,1926,"A",2.266,2.017,"R","10A","EP","24/06/2016","13/08/2016",50,1.756,1.507,0.25,25,31.95
"78","10A3",10,1926,"A",2.217,1.968,"R","10A","EP","24/06/2016","13/08/2016",50,1.665,1.416,0.28,28,26.05
"79","10A4",10,1926,"A",2.203,1.954,"R","10A","EP","24/06/2016","13/08/2016",50,1.626,1.377,0.3,30,28
